,Latitude,Longitude,Distance to Epicenter 1,Distance to Epicenter 2,Distance to Epicenter 3,Distance to Epicenter 4,Distance to Epicenter 5,Position in Complex: Corner,Position in Complex: End,Position in Complex: Interior,Position in Complex: Isolated,Horizontal Structure: Beams with deformable slab,Horizontal Structure: Beams with rigid slab,Horizontal Structure: Beams with semi-rigid slab,Horizontal Structure: Not identified,Horizontal Structure: Vaults with chains,Horizontal Structure: Vaults without chains,Average Floor Height: 2.50-3.50,Average Floor Height: 3.50-5.0,Average Floor Height: <2.50,Average Floor Height: >5.0,Average Floor Height: Not filled in,Number of Basement Floors: 0,Number of Basement Floors: 1,Number of Basement Floors: 2,Number of Basement Floors: >2,Number of Basement Floors: Not filled in,Vertical Structure: Good quality masonry,Vertical Structure: Mixed frame-masonry of good quality,Vertical Structure: Mixed frame-masonry of poor quality,Vertical Structure: Not identified,Vertical Structure: Poor quality masonry,Vertical Structure: Reinforced concrete frames,Vertical Structure: Reinforced concrete walls,Vertical Structure: Steel frames,Number of Floors: 1,Number of Floors: 10,Number of Floors: 11,Number of Floors: 12,Number of Floors: 2,Number of Floors: 3,Number of Floors: 4,Number of Floors: 5,Number of Floors: 6,Number of Floors: 7,Number of Floors: 8,Number of Floors: 9,Number of Floors: Not filled in,Chains or Beams: no,Chains or Beams: yes,Floor Area: 100-130,Floor Area: 1200-1600,Floor Area: 130-170,Floor Area: 1600-2200,Floor Area: 170-230,Floor Area: 2200-3000,Floor Area: 230-300,Floor Area: 300-400,Floor Area: 400-500,Floor Area: 50-70,Floor Area: 500-650,Floor Area: 650-900,Floor Area: 70-100,Floor Area: 900-1200,Floor Area: <50,Floor Area: >3000,Floor Area: Not filled in,Isolated Pillars: no,Isolated Pillars: yes,Construction or Restructuring: 1919-1945,Construction or Restructuring: 1946-1961,Construction or Restructuring: 1962-1971,Construction or Restructuring: 1972-1981,Construction or Restructuring: 1982-1991,Construction or Restructuring: 1992-2001,Construction or Restructuring: <1919,Construction or Restructuring: >2001,Slope Morphology: Gentle slope,Slope Morphology: Plain,Slope Morphology: Ridge,Slope Morphology: Steep slope,Vertical Structural Damage: A - No Damage,Vertical Structural Damage: B - Light Damage,Vertical Structural Damage: C - Moderate Damage,Vertical Structural Damage: D - Severe Damage,Vulnerability Score,A Priori Vulnerability,Vertical Structural Damage,Stairs Damage,Partitions Damage,Coverage Damage,Floor Damage,Cluster
10,42.3604438,13.3948771,2.580612681028286,11.06611244322961,10.32213271887913,14.857646143127,15.93593342369829,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.28806275920651564,0.5,0,0,0,0,0,4
11,42.3484059,13.3646031,1.575298654184289,12.57108508545563,11.65121165894548,15.77433048920502,16.8821357556722,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.17236296407335247,0.30000000000000004,0,0,0,0,0,2
12,42.3537584,13.3925526,1.845393897678145,11.80331403259648,10.00867741323771,15.53384730961819,16.61790584254748,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5056213461250189,0.9,0,0,0,0,0,3
13,42.3236205,13.4082093,2.95226410959875,15.22317493186482,7.235698231069857,19.09273357712082,20.16984460832086,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.3323589666716635,0.5,0,0,0,0,0,4
14,42.3224429,13.4624896,7.072955046624855,16.4044175059037,3.370329190370308,20.78885691193388,21.78869763758416,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.27876880027981815,0.30000000000000004,1,0,1,0,0,4
15,42.3703758,13.361294,3.709454427239788,10.23212087288272,13.17665508322102,13.32051451996159,14.42883989483742,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.28031779343426766,0.5,0,0,1,0,0,4
16,42.3705918,13.3597054,3.787226336869774,10.23983003832974,13.29639679595512,13.28808219212958,14.39705431128033,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.33016039574276707,0.1,0,0,1,0,0,4
17,42.3850735,13.344885,5.782364303925033,9.113599124362592,15.24139106301322,11.66301915557687,12.77318651764943,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.3600909408884223,0.5,0,0,0,0,0,0
18,42.35359,13.40763,2.731696236195609,11.90891490681615,9.029457448318638,15.87760412400911,16.94085667063747,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.41837805426472763,0.5,0,0,2,1,0,0
19,42.3539216,13.3270645,4.62785554021351,12.87199276068789,14.7051057026747,15.2331947187732,16.336025032192,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.27714485584370163,0.30000000000000004,0,0,0,0,0,4
20,42.3642925,13.376761,2.711578318062998,10.68701911367794,11.75189445159017,14.13638612332929,15.23461010537657,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.28159196522260516,0.5,2,0,2,0,0,4
21,42.3539154,13.3985095,2.17149611539175,11.80480656427614,9.62993208775928,15.63480350573587,16.71113800492448,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.29186029081097276,0.30000000000000004,0,0,0,0,0,4
